Label,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10
1,-0.01649,-0.022804,0.0072259,-0.012771,-0.038404,0.019695,0.0355,-0.0065558,0.0072455,-0.011444
1,-0.01668,0.018768,0.0020191,-0.0045949,-0.019656,0.019268,0.020139,-0.0052653,-0.00065942,0.0035726
0,-0.017659,0.0023499,-0.0023478,-0.0044785,0.012647,-0.00080105,0.0076588,-0.014427,0.017223,0.013739
1,0.0042471,-0.04709,-0.0053267,0.048345,-0.018781,0.023593,0.032291,0.010756,-0.0025905,-0.031665
0,0.018876,-0.0015382,-0.025522,-0.007263,0.0056447,0.015632,-0.006192,-0.011887,0.0016177,-0.012827
0,0.0039411,0.0033373,0.0021186,-0.019506,-0.0031913,-0.0059583,-0.0071379,-0.0052169,-0.0051346,-0.0047279
0,-0.0093067,0.0083734,0.033614,0.012286,0.011307,0.00077288,0.00055217,0.021114,-0.019999,-0.029962
0,0.0010128,-0.012345,-0.010991,-0.015421,0.0065178,-0.013786,-0.014648,0.011809,0.0070066,-0.0099227
1,0.003728,0.0067135,-0.018579,0.027196,-0.0073273,0.029075,0.0090946,0.022983,0.0007151,-0.017359
1,-0.021048,-0.028432,-0.020551,0.017016,-0.014365,0.032532,0.01072,0.017981,0.034979,0.020399
1,-0.014567,-0.011235,-0.006931,0.012861,-0.0089238,-0.00042803,0.0098786,-0.0032132,-0.037848,0.0060599
1,-0.010958,-0.024256,-0.0014771,-0.0071689,0.012083,0.028897,-0.017961,0.013029,0.024941,-0.015819
1,-0.0045899,0.018271,0.001392,-0.0086624,-0.0033822,0.011866,0.0052159,0.014958,-0.0017801,0.017866
1,-0.031583,0.0078165,-0.012307,-0.036634,-0.014687,0.014494,0.024297,-0.019084,-0.01603,0.00047725
0,0.0071585,0.0034514,-0.0063776,-0.0012458,0.00037669,-0.0072573,-0.0033252,0.010379,-0.013649,0.0056988
1,-0.017244,-0.010563,0.0048861,0.004171,-0.0037597,-0.013128,0.010307,0.020539,-0.033048,-0.010605
1,-0.01898,-0.018241,-0.038574,0.0060996,-0.024441,0.01116,-0.0067138,0.019447,0.016106,-0.013191
0,-0.011449,-0.0018835,0.00061528,0.043435,0.012747,-0.025722,-0.012807,-0.0026423,-0.0048245,-0.0042099
1,-0.038858,-0.023737,-0.0024626,-0.027341,-0.0015236,-0.01011,-0.0084789,0.0092741,0.011029,-0.016491
0,-0.0056544,-8.3e-05,0.018121,0.022695,0.0025849,-0.0056376,0.014758,0.007873,0.0097774,-0.015228
1,-0.022273,-0.040868,0.013362,0.00057634,-0.00010374,0.026946,0.0073098,-0.029223,0.0027623,-0.0079047
0,0.005069,0.0061593,0.029527,0.0023489,0.023071,0.0012924,0.0081606,0.020661,0.0081084,-0.012706
1,-0.0033508,-0.017838,-0.00497,-0.005648,-0.0048224,0.007611,0.020451,0.0027604,-0.014995,0.010451
0,0.0094712,-0.0046599,0.0091101,0.0042493,0.0043922,0.0078548,0.0067463,-0.0041949,-0.0085899,0.011068
